Year,Sown_Acres,Sown_Ha,Harvested_Acres,Harvested_Ha,Avg_Yield_Bushels_Acre,Avg_Yield_Kg_Ha,Production_Bushels,Production_Mt,season,Sown_to_Harvest_Ratio,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,Population,Population_Growth_Rate,Inflation,Missing_Rainfall,Prev_Yield,Prev_Rainfall,Crisis_Indicator
1991,1355,548,1292,523,68.12,3512,78155,1630,Maha,0.9543795620437956,49.476721886134456,64.50506032282912,151.02258010994396,193.14594800420167,495.6940325271709,575.0589468879551,79.5229851955182,16475354.0,0.0075154450786543,12.1856307214389,0,3620.0,64.50506032282912,0
1991,781,316,761,308,59.12,3048,39986,835,Yala,0.9746835443037974,35.95768756999804,43.15622566074509,111.89252897260783,129.96097507040392,332.4520272896078,394.66575780058827,91.6810345627451,16475354.0,0.0075154450786543,12.1856307214389,0,3266.0,43.15622566074509,0
1992,1348,546,1330,538,68.2,3516,81124,1692,Maha,0.9853479853479854,48.949999727871145,64.50506032282912,154.7064090327731,193.14594800420167,451.1842501344538,575.0589468879551,67.92724535490196,16739284.0,0.0160196861323891,11.3834370512206,0,3512.0,64.50506032282912,0
1992,630,255,601,243,63.09,3253,34029,710,Yala,0.9529411764705882,38.95178748553333,43.15622566074509,112.86317666107844,129.96097507040392,296.0389192117647,394.66575780058827,93.5017840509804,16739284.0,0.0160196861323891,11.3834370512206,0,3048.0,43.15622566074509,0
1993,1436,581,1385,561,64.87,3345,80054,1670,Maha,0.965576592082616,67.79166709957983,64.50506032282912,198.826455517507,193.14594800420167,533.1402129915966,575.0589468879551,90.87323924509803,17025918.0,0.0171234325195748,11.7467370174946,0,3516.0,64.50506032282912,0
1993,713,289,696,282,67.52,3481,42089,878,Yala,0.9757785467128028,42.00158495895295,43.15622566074509,126.3138885747843,129.96097507040392,367.5224984490196,394.66575780058827,91.27869799803922,17025918.0,0.0171234325195748,11.7467370174946,0,3253.0,43.15622566074509,0
1994,1400,567,1357,549,69.89,3604,84407,1761,Maha,0.9682539682539684,73.95332308333333,64.50506032282912,226.2871161512605,193.14594800420167,712.1064822058825,575.0589468879551,109.30696979411763,17275773.0,0.0146749796398644,8.44871248698348,0,3345.0,64.50506032282912,0
1994,861,349,830,336,65.82,3394,48576,1013,Yala,0.9627507163323782,22.69661060281961,43.15622566074509,67.60916997008431,129.96097507040392,229.36070286137252,394.66575780058827,64.85972204764707,17275773.0,0.0146749796398644,8.44871248698348,0,3481.0,43.15622566074509,0
1995,1233,499,1051,425,68.54,3534,63807,1331,Maha,0.8517034068136272,44.81281712871149,64.50506032282912,139.56664214481793,193.14594800420167,515.2980024551821,575.0589468879551,75.58989449159664,17564068.0,0.0166878205681446,7.67484873449805,0,3604.0,64.50506032282912,0
1995,861,348,841,340,66.47,3427,50271,1049,Yala,0.9770114942528736,52.276500730307845,43.15622566074509,151.19473455209803,129.96097507040392,431.8565959986275,394.66575780058827,115.97452515882352,17564068.0,0.0166878205681446,7.67484873449805,0,3394.0,43.15622566074509,0
1996,1169,473,1095,443,71.19,3671,69837,1457,Maha,0.9365750528541226,62.27190058935574,64.50506032282912,190.52168726750705,193.14594800420167,512.4953800938375,575.0589468879551,98.45258551512606,17905018.0,0.0194117900249533,15.9358310447214,0,3534.0,64.50506032282912,0
1996,617,250,580,235,67.44,3477,35000,730,Yala,0.94,37.41019289372549,43.15622566074509,102.8754403202745,129.96097507040392,307.8689916590196,394.66575780058827,95.87358104313726,17905018.0,0.0194117900249533,15.9358310447214,0,3427.0,43.15622566074509,0
1997,1418,574,1391,563,68.95,3555,85366,1781,Maha,0.980836236933798,70.28094680378152,64.50506032282912,210.51579434859943,193.14594800420167,607.2581947086835,575.0589468879551,91.9558996092437,18248200.0,0.0191668056407428,9.57369626405162,0,3671.0,64.50506032282912,1
